month,cosine_distance_baseline,intra_month_spread,n_headlines,corpus
2016-01,0.06833994388580322,0.08972678333520889,1000,comparison
2016-02,0.06373035907745361,0.08849921822547913,1000,comparison
2016-03,0.06329655647277832,0.0847170278429985,1000,comparison
2016-04,0.1510666012763977,0.08137701451778412,1000,comparison
2016-05,0.13617408275604248,0.08086239546537399,1000,comparison
2016-06,0.0712931752204895,0.08822117745876312,1000,comparison
2016-07,0.08518874645233154,0.0903419703245163,1000,comparison
2016-08,0.0856853723526001,0.08967334032058716,1000,comparison
2016-09,0.06141519546508789,0.08990829437971115,1000,comparison
2016-10,0.08699846267700195,0.08575651794672012,1000,comparison
2016-11,0.11112105846405029,0.0860762670636177,1000,comparison
2016-12,0.22291743755340576,0.0798538401722908,1000,comparison
2017-01,0.15622305870056152,0.08830077201128006,1000,comparison
2017-02,0.10133898258209229,0.08935251086950302,1000,comparison
2017-03,0.0936841368675232,0.09048173576593399,1000,comparison
2017-04,0.09199905395507812,0.08784038573503494,1000,comparison
2017-05,0.08070826530456543,0.09039556980133057,1000,comparison
2017-06,0.09879183769226074,0.08752284198999405,1000,comparison
2017-07,0.06508058309555054,0.08665993809700012,1000,comparison
2017-08,0.058869004249572754,0.08303242921829224,1000,comparison
2017-09,0.1449471116065979,0.08881285786628723,1000,comparison
2017-10,0.09160339832305908,0.08550536632537842,1000,comparison
2017-11,0.08567261695861816,0.08599772304296494,1000,comparison
2017-12,0.09504038095474243,0.08630699664354324,1000,comparison
2018-01,0.09207940101623535,0.0875161737203598,1000,comparison
2018-02,0.09351897239685059,0.0865236297249794,1000,comparison
2018-03,0.0817713737487793,0.08572711050510406,1000,comparison
2018-04,0.09077680110931396,0.08581501245498657,1000,comparison
2018-05,0.10108649730682373,0.08632461726665497,1000,comparison
2018-06,0.08768045902252197,0.08605276048183441,1000,comparison
2018-07,0.10270047187805176,0.08792713284492493,1000,comparison
2018-08,0.09328734874725342,0.08928309381008148,1000,comparison
2018-09,0.08988136053085327,0.0874708965420723,1000,comparison
2018-10,0.08168292045593262,0.08820588141679764,1000,comparison
2018-11,0.0882270336151123,0.08430876582860947,1000,comparison
2018-12,0.09760165214538574,0.08976958692073822,1000,comparison
2019-01,0.0981215238571167,0.08613186329603195,1000,comparison
2019-02,0.09044122695922852,0.08883082866668701,1000,comparison
2019-03,0.11484193801879883,0.08510556817054749,1000,comparison
2019-04,0.09197056293487549,0.08505915105342865,1000,comparison
2019-05,0.10574281215667725,0.0852164477109909,1000,comparison
2019-06,0.09387177228927612,0.08649580925703049,1000,comparison
2019-07,0.09748196601867676,0.08417391777038574,1000,comparison
2019-08,0.0804663896560669,0.08565474301576614,1000,comparison
2019-09,0.0873786211013794,0.08583470433950424,1000,comparison
2019-10,0.09477794170379639,0.08403830975294113,1000,comparison
2019-11,0.09989607334136963,0.08386196196079254,1000,comparison
2019-12,0.107169508934021,0.08049747347831726,1000,comparison
2020-01,0.11236190795898438,0.08420081436634064,1000,comparison
2020-02,0.12156367301940918,0.08320263773202896,1000,comparison
2020-03,0.2806417942047119,0.07973106950521469,1000,comparison
2020-04,0.2883070707321167,0.08600839227437973,1000,comparison
2020-05,0.18270361423492432,0.08176035434007645,1000,comparison
2020-06,0.14030635356903076,0.08399531245231628,1000,comparison
2020-07,0.1287240982055664,0.08384747803211212,1000,comparison
2020-08,0.12469351291656494,0.08296355605125427,1000,comparison
2020-09,0.11821091175079346,0.08241410553455353,1000,comparison
2020-10,0.13393479585647583,0.0834515392780304,1000,comparison
2020-11,0.15500974655151367,0.08599134534597397,1000,comparison
2020-12,0.12105000019073486,0.08484383672475815,1000,comparison
2021-01,0.20789474248886108,0.07636519521474838,1000,comparison
2021-02,0.10317647457122803,0.08425736427307129,1000,comparison
2021-03,0.09026408195495605,0.0849483460187912,1000,comparison
2021-04,0.07158923149108887,0.08638963848352432,1000,comparison
2021-05,0.09144353866577148,0.08148657530546188,1000,comparison
2021-06,0.08593618869781494,0.08664829283952713,1000,comparison
2021-07,0.0951850414276123,0.08209941536188126,1000,comparison
2021-08,0.10933303833007812,0.08683571964502335,1000,comparison
2021-09,0.08478450775146484,0.08263207226991653,1000,comparison
2021-10,0.0889849066734314,0.08392796665430069,1000,comparison
2021-11,0.075397789478302,0.08047942072153091,1000,comparison
2021-12,0.09871339797973633,0.0859900712966919,1000,comparison
2022-01,0.10663414001464844,0.08246487379074097,1000,comparison
2022-02,0.12698286771774292,0.08331216871738434,1000,comparison
2022-03,0.13672679662704468,0.08403283357620239,1000,comparison
2022-04,0.08040368556976318,0.08513201028108597,1000,comparison
2022-05,0.10272085666656494,0.08125010877847672,1000,comparison
2022-06,0.12022215127944946,0.08364784717559814,1000,comparison
2022-07,0.11407756805419922,0.08645840734243393,1000,comparison
2022-08,0.11494958400726318,0.08825663477182388,1000,comparison
2022-09,0.10299277305603027,0.08539971709251404,1000,comparison
2022-10,0.10331225395202637,0.08193709701299667,1000,comparison
2022-11,0.13507020473480225,0.08442892134189606,1000,comparison
2022-12,0.1010293960571289,0.0862141028046608,1000,comparison
2023-01,0.12182188034057617,0.08563219010829926,1000,comparison
2023-02,0.11800515651702881,0.08712545037269592,1000,comparison
2023-03,0.17716097831726074,0.08288629353046417,1000,comparison
2023-04,0.1256975531578064,0.0848771259188652,1000,comparison
2023-05,0.11224818229675293,0.08586451411247253,1000,comparison
2023-06,0.10047459602355957,0.08553872257471085,1000,comparison
2023-07,0.10276859998703003,0.08521641790866852,1000,comparison
2023-08,0.11810153722763062,0.08477132767438889,1000,comparison
2023-09,0.09969538450241089,0.085948646068573,1000,comparison
2023-10,0.12420022487640381,0.08066994696855545,1000,comparison
2023-11,0.11180853843688965,0.08363744616508484,1000,comparison
2023-12,0.09830927848815918,0.08500528335571289,1000,comparison
2024-01,0.12470996379852295,0.08572268486022949,1000,comparison
2024-02,0.11117243766784668,0.08585187792778015,1000,comparison
2024-03,0.10581934452056885,0.08463293313980103,1000,comparison
2024-04,0.118827223777771,0.08517713844776154,1000,comparison
2024-05,0.11813288927078247,0.08306754380464554,1000,comparison
2024-06,0.11261898279190063,0.08592266589403152,1000,comparison
