month,mean_sentiment,sentiment_std,sentiment_volatility,n_headlines,corpus
2016-01,-0.05816597624423284,0.3705686737834575,0.37056867378345687,20374,comparison
2016-02,-0.050787786221126265,0.37454483590211457,0.37454483590211457,19871,comparison
2016-03,-0.05788647429311654,0.37749820297525966,0.3774982029752586,22387,comparison
2016-04,-0.044021162737815506,0.384473407626215,0.3844734076262152,39579,comparison
2016-05,-0.09096406121139924,0.4056099075642592,0.40560990756426113,54565,comparison
2016-06,-0.06609923994109543,0.3745268509950742,0.3745268509950747,21051,comparison
2016-07,-0.07521100250888563,0.3776298106081042,0.377629810608103,19132,comparison
2016-08,-0.07235339050341433,0.3795922619641455,0.37959226196414564,18891,comparison
2016-09,-0.05950348607647548,0.37145948477768526,0.3714594847776844,19248,comparison
2016-10,-0.05299708831956851,0.36206271486925495,0.36206271486925545,23732,comparison
2016-11,-0.030076443862306085,0.37880786225321184,0.3788078622532117,24431,comparison
2016-12,-0.06211497457949786,0.3974322417259379,0.39743224172593744,44649,comparison
2017-01,-0.05269300818319351,0.374756588366069,0.3747565883660688,58168,comparison
2017-02,-0.007534003943005646,0.37608849324260346,0.37608849324260346,22318,comparison
2017-03,-0.06772252453557659,0.38280879711688265,0.3828087971168817,22824,comparison
2017-04,-0.06938925863735816,0.38131719957345256,0.3813171995734526,19653,comparison
2017-05,-0.06107358686706804,0.37167278463799974,0.37167278463799913,23087,comparison
2017-06,-0.07942074371859296,0.3880983877726604,0.3880983877726599,19900,comparison
2017-07,-0.06380410185822435,0.3737799848611049,0.37377998486110453,14530,comparison
2017-08,-0.03703959767477436,0.3582522863783952,0.35825228637839557,13074,comparison
2017-09,-0.11680566227113834,0.3902386219338,0.3902386219337988,28893,comparison
2017-10,-0.08697143303641194,0.38268544684508166,0.382685446845082,19197,comparison
2017-11,-0.08119731351500138,0.38879314240534,0.3887931424053403,18165,comparison
2017-12,-0.06382532370666508,0.38956065061550244,0.3895606506155022,16759,comparison
2018-01,-0.07725514064544266,0.3833457901348482,0.38334579013484804,18344,comparison
2018-02,-0.07265151185292694,0.3872974154489521,0.3872974154489523,16536,comparison
2018-03,-0.04110718061674009,0.3902905095113109,0.39029050951131,22700,comparison
2018-04,-0.06998555976500302,0.3919326712080532,0.39193267120805325,18213,comparison
2018-05,-0.07316498833487059,0.3834969799685247,0.38349697996852533,18431,comparison
2018-06,-0.05878038025889968,0.3866930309935577,0.38669303099355823,17304,comparison
2018-07,-0.05973954134815845,0.3887125110017898,0.38871251100179044,15829,comparison
2018-08,-0.07016169699627274,0.37406005776096973,0.37406005776096907,18244,comparison
2018-09,-0.07170713520327766,0.38061746978609984,0.38061746978609984,15865,comparison
2018-10,-0.06914174883826363,0.3795570258403291,0.3795570258403296,17646,comparison
2018-11,-0.055565973649220356,0.38486411750836375,0.38486411750836413,16546,comparison
2018-12,-0.05727034857105487,0.38873193819578306,0.3887319381957822,15291,comparison
2019-01,-0.05590571168988492,0.3818603038544133,0.3818603038544132,16510,comparison
2019-02,-0.059853856708226454,0.3925915030960253,0.39259150309602414,16763,comparison
