month,mean_sentiment,sentiment_std,sentiment_volatility,n_headlines,corpus
2001-01,0.00035397744050079795,0.3086370466527599,0.30863704665275987,16933,baseline
2001-02,-0.0034996290270094365,0.31510720827702626,0.31510720827702665,15365,baseline
2001-03,-0.01378228507847271,0.3112058313533032,0.31120583135330354,17076,baseline
2001-04,-0.009574815732424899,0.3126529595881854,0.3126529595881855,16145,baseline
2001-05,-0.012302068611807613,0.3126610596867229,0.31266105968672225,17548,baseline
2001-06,-0.016813363471971068,0.309675591918757,0.30967559191875615,16590,baseline
2001-07,-0.00919556056269411,0.3139782682424442,0.31397826824244385,16421,baseline
2001-08,-0.013626143634515338,0.311602275954427,0.31160227595442663,16723,baseline
2001-09,-0.03511177590761103,0.328009563325015,0.32800956332501546,16279,baseline
2001-10,-0.033702952364730594,0.32404742866016145,0.32404742866016173,17613,baseline
2001-11,-0.02213235678630853,0.32371609514089206,0.3237160951408925,16828,baseline
2001-12,-0.010355189506135525,0.32619078059241385,0.32619078059241363,16543,baseline
2002-01,-0.021480537287504653,0.3165876875652062,0.3165876875652063,16118,baseline
2002-02,-0.011637137717369577,0.31539554409931425,0.315395544099314,15009,baseline
2002-03,-0.0223665905866387,0.3140716697094694,0.31407166970946915,16211,baseline
2002-04,-0.04667647126042738,0.31364118810568,0.3136411881056795,17502,baseline
2002-05,-0.02150990117356393,0.31485995369268915,0.3148599536926896,16190,baseline
2002-06,-0.021713769951862173,0.3144243723465709,0.31442437234656995,15788,baseline
2002-07,-0.02154344687274398,0.3139036702794282,0.3139036702794298,15237,baseline
2002-08,-0.02619387781770663,0.31048516573699775,0.3104851657369974,15305,baseline
2002-09,-0.023069541693189054,0.3132993994773767,0.3132993994773759,15710,baseline
2002-10,-0.0251333851581654,0.3215920185474718,0.32159201854747227,16723,baseline
2002-11,-0.015770935646406022,0.316209999304653,0.31620999930465254,15679,baseline
2002-12,-0.018860699848408286,0.31611000770455144,0.3161100077045509,15832,baseline
2003-01,-0.028165224479558562,0.31429191439533694,0.314291914395337,15948,baseline
2003-02,-0.03506153115887978,0.3230442865363636,0.3230442865363642,14747,baseline
2003-03,-0.053205121162180305,0.3333708118000084,0.33337081180000777,16383,baseline
2003-04,-0.037788541404480236,0.3285047407262059,0.32850474072620567,15892,baseline
2003-05,-0.02393151344068775,0.31667748192257084,0.3166774819225707,15587,baseline
2003-06,-0.018163791079812204,0.31249928969655955,0.31249928969655816,15336,baseline
2003-07,-0.020219417411011867,0.3172811417666034,0.3172811417666029,15002,baseline
2003-08,-0.020427665706051874,0.3196571327134931,0.319657132713492,14921,baseline
2003-09,-0.023424800917802673,0.3056394488675072,0.30563944886750694,14818,baseline
2003-10,-0.01370847112693971,0.3209134086718693,0.32091340867186835,15724,baseline
2003-11,-0.012632341631248736,0.31495754345834076,0.3149575434583415,14823,baseline
2003-12,-0.01855931517929361,0.3213904166868745,0.3213904166868742,14836,baseline
2004-01,-0.011988650634602539,0.31666812660959665,0.3166681266095959,14970,baseline
2004-02,-0.018374944949077897,0.3160687981771713,0.31606879817717115,14532,baseline
2004-03,-0.024811913798649082,0.31050485700421726,0.310504857004217,15545,baseline
2004-04,-0.023848062962209104,0.3172554712991126,0.3172554712991129,14739,baseline
2004-05,-0.0324046620204344,0.32595393415275614,0.3259539341527563,14779,baseline
2004-06,-0.02291686422031372,0.3190379823274873,0.3190379823274868,14089,baseline
2004-07,-0.013916226496339886,0.3127724924224668,0.3127724924224672,13934,baseline
2004-08,-0.018375621994564082,0.31481047268174606,0.3148104726817456,14349,baseline
2004-09,-0.027653122190719866,0.31474256107685644,0.3147425610768554,14461,baseline
2004-10,-0.015569781227083843,0.31451073797112195,0.3145107379711213,16364,baseline
2004-11,-0.007838756242731067,0.3161508213713232,0.31615082137132305,14617,baseline
2004-12,-0.007076972936852656,0.31354813515151947,0.31354813515151875,14965,baseline
2005-01,-0.013252555334493907,0.3136391532075235,0.313639153207524,16084,baseline
2005-02,-0.01002964758014263,0.3154515830687066,0.3154515830687064,14443,baseline
2005-03,-0.01973254924099862,0.31034819791174445,0.31034819791174434,15942,baseline
2005-04,-0.01716691937038227,0.30995449005369324,0.3099544900536934,15565,baseline
2005-05,-0.013887481777270711,0.3144322860852764,0.31443228608527557,15777,baseline
2005-06,-0.022382169429578384,0.3120051610179546,0.3120051610179547,15322,baseline
2005-07,-0.02135046552509929,0.31892144200366174,0.31892144200366135,15359,baseline
2005-08,-0.026647666401485016,0.31747307044220435,0.317473070442204,15084,baseline
2005-09,-0.02478226572528883,0.3145351796020085,0.31453517960200805,15580,baseline
2005-10,-0.013709970786231424,0.3125064529670583,0.31250645296705776,15746,baseline
2005-11,-0.017529424545693967,0.31484514813625936,0.3148451481362593,15188,baseline
2005-12,-0.02080454128440367,0.3178043654708348,0.3178043654708347,15260,baseline
2006-01,-0.016384404709437764,0.31155245472354487,0.31155245472354554,15883,baseline
2006-02,-0.014714593301435406,0.3122439190293042,0.31224391902930465,15048,baseline
2006-03,-0.02248381807973049,0.3066527933006305,0.3066527933006313,17810,baseline
2006-04,-0.01841827470103332,0.31080995847776094,0.31080995847776133,17226,baseline
2006-05,-0.023092856423173803,0.3099569155073919,0.30995691550739274,19850,baseline
2006-06,-0.019696539307861572,0.3133487430543147,0.3133487430543155,19996,baseline
2006-07,-0.01734073648472186,0.31436359384303997,0.31436359384304063,19145,baseline
2006-08,-0.02855792837523769,0.31856364832464823,0.31856364832464806,18932,baseline
2006-09,-0.023137733807389087,0.31257817833749635,0.3125781783374976,19407,baseline
2006-10,-0.014561954081632652,0.3158916239059526,0.315891623905952,19600,baseline
2006-11,-0.005416952603981061,0.3109916068928938,0.31099160689289385,19643,baseline
2006-12,-0.01000039112757964,0.31555030177278454,0.3155503017727837,19431,baseline
2007-01,-0.011297214806263077,0.3123307895589937,0.3123307895589936,13859,baseline
2007-02,-0.008322017327716397,0.3169895254147541,0.3169895254147539,12581,baseline
2007-03,-0.017937784532252615,0.31110519767992045,0.31110519767991995,14805,baseline
2007-04,-0.015028736604624929,0.310507116257859,0.3105071162578589,14184,baseline
2007-05,-0.014982733911144476,0.3089850565878994,0.3089850565878993,14653,baseline
2007-06,-0.009326306644425911,0.30973484448546706,0.30973484448546706,14388,baseline
2007-07,-0.009896505248899424,0.309702011883962,0.30970201188396185,14765,baseline
2007-08,-0.01852243750423413,0.3055380685000766,0.30553806850007637,14761,baseline
2007-09,0.00025082686681083855,0.2959931852497343,0.2959931852497342,15722,baseline
2007-10,-0.010401853344077358,0.3023487206091461,0.30234872060914586,17374,baseline
2007-11,-0.007913640339915021,0.30424330988304804,0.30424330988304904,16004,baseline
2007-12,0.0016393976795852877,0.31221395633630583,0.3122139563363054,16204,baseline
2008-01,-0.005751053475323485,0.30008153002321136,0.30008153002321153,17466,baseline
2008-02,-0.003896572767059113,0.3073913032634426,0.30739130326344244,16223,baseline
2008-03,-0.0086972204416992,0.30178902316576345,0.3017890231657637,17161,baseline
2008-04,-0.005001700639962076,0.2993801345923188,0.29938013459231905,16876,baseline
2008-05,-0.0035068367404403897,0.30399000317494174,0.3039900031749411,17757,baseline
2008-06,-0.003062123789967732,0.29914711699140045,0.2991471169914003,17045,baseline
2008-07,-0.0070627906976744185,0.30014965568206436,0.30014965568206464,17329,baseline
2008-08,-0.003449437029713846,0.3020712449520787,0.3020712449520797,18207,baseline
2008-09,-0.010531109896118097,0.3018153710392389,0.3018153710392382,18290,baseline
2008-10,-0.014166415431149899,0.3036678245313731,0.30366782453137336,20167,baseline
2008-11,-0.0031242930229943215,0.30149838500874426,0.3014983850087427,17787,baseline
2008-12,-0.005520405605559986,0.3090251773873045,0.30902517738730534,17554,baseline
2009-01,0.0006504419949798106,0.29655423191676894,0.2965542319167686,18326,baseline
2009-02,-0.0003742260869565209,0.30183723842057175,0.3018372384205723,17250,baseline
2009-03,0.0024261160131572083,0.29700373865790547,0.29700373865790597,19153,baseline
2009-04,-0.0030712526447132854,0.3005133829753095,0.3005133829753084,18433,baseline
2009-05,0.005064781403491709,0.29728754663202195,0.29728754663202217,20563,baseline
2009-06,0.011020321431918284,0.29058226726336306,0.29058226726336367,21342,baseline
2009-07,0.008636849752978785,0.29736318116155586,0.2973631811615572,20646,baseline
2009-08,0.0007993779710731268,0.3029371991041036,0.3029371991041035,19774,baseline
2009-09,0.009944491544947703,0.29333201268429726,0.29333201268429754,21703,baseline
2009-10,0.010350037045107867,0.2981298120540085,0.29812981205400885,22945,baseline
2009-11,0.012679354948034342,0.3086210004203902,0.3086210004203895,17704,baseline
2009-12,0.017653486249001482,0.30749543175684085,0.30749543175684113,17526,baseline
2010-01,0.01410720720720721,0.30921226678296193,0.3092122667829616,18426,baseline
2010-02,0.01670747359406223,0.3172329573405083,0.31723295734050844,17515,baseline
2010-03,0.011238676617438378,0.31327494739643613,0.313274947396436,19027,baseline
2010-04,0.0075701028597264615,0.31314630856380976,0.313146308563809,17694,baseline
2010-05,0.0007259022998153436,0.31961908234067754,0.31961908234067765,17871,baseline
2010-06,0.015004429709700784,0.3082557904750668,0.30825579047506724,17947,baseline
2010-07,0.003930362938920036,0.3094021752906955,0.30940217529069586,16945,baseline
2010-08,0.005010012829128231,0.3077059357590068,0.3077059357590061,16369,baseline
2010-09,0.005792234770905261,0.30528151748708193,0.3052815174870819,17089,baseline
2010-10,0.0106196035363242,0.30513396607055543,0.3051339660705559,18211,baseline
2010-11,0.014570635954523924,0.3078968142315119,0.30789681423151205,16888,baseline
2010-12,0.014898449660284127,0.31201075696557756,0.3120107569655777,16190,baseline
2011-01,0.017638067375886527,0.3103608085763027,0.31036080857630227,16920,baseline
2011-02,0.02508128618947887,0.3190023759047191,0.31900237590471886,16234,baseline
2011-03,-0.004842143760655557,0.3143234974096394,0.31432349740963966,18183,baseline
2011-04,0.0035251522643671234,0.31548835463523,0.31548835463522973,16583,baseline
2011-05,-0.0028181866729959054,0.3165264878280851,0.316526487828085,16853,baseline
2011-06,0.001391289178001183,0.3134187473752555,0.31341874737525593,16910,baseline
2011-07,-0.005912657177506862,0.31806518135069023,0.3180651813506899,15667,baseline
